Name	Type	Set	Cost	Damage	Momentum	Target	Traits	Starting	Game Text
Adam Copeland Wrestler  Wrestler	Wrestler	Advanced			4			Adam Copeland Wrestler 	You may have an additional copy of cards in your draw and purchase decks.
Adam Page Wrestler	Wrestler	Advanced			4			Adam Page Wrestler	Trigger - When your opponent hits with two consecutive maneuvers Scout and Attempt to Get a Pop. 
Angelo Parker Finisher	Strike	Advanced	16	10	15			Angelo Parker Wrestler	As you play this you may Tuck a card from your Market. If you do, this gains Damage equal to that card's Momentum.  Finisher  Enters - You may tuck a card from your Market, if you do gain Stamina equal to that card's Momentum. Refill your market.
Angelo Parker Manager 	Manager	Advanced			3			Angelo Parker Manager	Ruby Soho - Your Starting Hand is +1 (this does not effect your hands after your opening hand).  Action - Commit : Choose two cards in your Market. Purchase one, Tuck the other, then refill your Market (you must pay for the card you purchased). 
Angelo Parker Wrestler	Wrestler	Advanced			4			Angelo Parker Wrestler	Ongoing - When you purchase a card you may also Tuck a card from your Market and replace it
Anger the Crowd	Action	Advanced	1	0	5				Special - +3M outside the Recovery Phase. 
Ankle Lock	Submission	Advanced	0	2	2	L			Focus Attack 
Anthony Bowens Wrestler	Wrestler	Advanced			5			Anthony Bowens Wrestler	Tie-Up Action - Commit and discard a card : Play a maneuver from your hand, any Enters abilities on that card trigger an additional time 
Anthony Ogogo Manager	Manager	Advanced			3		Boxer	Anthony Ogogo Manager	Ongoing - During your Recovery Phase your Punches are -1C. 
Anthony Ogogo Wrestler	Wrestler	Advanced			3		Boxer	Anthony Ogogo Wrestler	Your Punches are -1C.
Arm Breaker	Grapple	Advanced	8	6	6	A			Relentless
Arm Scissor	Submission	Advanced	2	4	4	A			Ongoing - Opponent's maneuvers played from outside their hand deal half damage (round up)
Backhand Chop	Strike	Advanced	1	3	2	T	Chop		Sudden, Combo Attack
Baddest Hands on the Planet 	Boon	Advanced	0	0	0				Permanent. Ongoing - Your Punches are +1D/+1M.
Baddest Plan on the Planet 	Action	Advanced	5	0	4		Punch	Mike Tyson Wrestler	Ongoing - Your gain Punches "Enters - Stun opponent then Scout". Enters - Create a Baddest Hands on the Planet Token in your Ring. 
Baddest Uppercut on the Planet	Strike	Advanced	20	16	16	H	Punch	Mike Tyson Wrestler	Finisher. Enters - If your Uncommited momentum from only other Punches is higher than your opponent's stamina, you win the game via Knockout. 
Beast 	Boon	Advanced	0	0	3				Ongoing - Your maneuvers are +1D
Beast Bomb	Grapple	Advanced	18	16	16	T	Slam	Nyla Rose Wrestler	Ongoing - Your maneuvers with no printed abilities are +3D. Enters - You may have this gain Permanent this turn. 
Bell Ringer	Injury	Advanced	0	0	0				Ongoing - Your Market is -1.
Beth Copeland Manager	Manager	Advanced			3			Beth Copeland Wrestler	Ongoing - Cards in your Market have Sudden if there is a copy of that card in your ring. 
Big Stoke Manager	Manager	Advanced			3			Stokely Hathaway	Ongoing - Your Market is +1.
Bitch	Response	Advanced	8	0	4			Kazuchika Okada Wrestler	Reverse any card. Special - If this would be put into your Discard from anywhere, shuffle it into your draw deck instead. 
Bite the Ear	Response	Advanced	6	2	3		Punch	Mike Tyson Wrestler	Reverse any maneuver. Ongoing - Your Punches are +2D. 
Blackpool Combat Club 	Faction	Advanced			3			Blackpool Combat Club	Flip - Play a maneuver from your discard. It gains +3D and Permanent this turn.
Blinded	Injury	Advanced	0	0	0				Ongoing - Your Hand is -1.
Blindsided Punch	Strike	Advanced	0	3	3	H	Punch		Hidden.  Turned - Stun opponent 
Blown Spot	Response	Advanced	5	0	3				Reverse any maneuver not played from hand. Tuck that card.
Body Scissors	Submission	Advanced	7	7	7	T			
Boston Crab	Submission	Advanced	8	4	4	T			Trigger - After opponent plays an Action card, Stun them. 
Brain Fog	Injury	Advanced	X	0	0				Nothing
Break Concentration 	Response	Advanced	4	0	3				Reverse any Action or Submission 
Bridging German Suplex	Grapple	Advanced	9	5	5	T	Suplex		Enters - Try to Pin opponent.   Capitalize - If this was played after Drop Step this is +4M for this Pin. 
Bronze Left Hand	Strike	Advanced						Anthony Ogogo Wrestler	Finisher  Ongoing - Your Punches have Relentless. 
BTE	Action	Advanced	4	0	2			The Elite	Enters - Put a card from your discard beneath your draw or purchase deck. Then draw two cards and gain 2 Stamina. 
Buckshot Lariat	Strike	Advanced	10	12	12	H		Adam Page Wrestler	Finisher. Follow-Up - Has Sudden and Relentless. 
By God 	Call Name	Advanced			1			By God	Your Starting Draw deck may include up to 3 cost of any cards. Don Callis - You may also include one copy of Will of the Invisible Hand. 
Cash Cannons	Action	Advanced	3	0	2				Enters - Market two cards
Catch the Ropes	Response	Advanced	3	0	2				Rope Break. Reverse any Strike, High Risk, Suplex, or Set-Up
Chaos	Boon	Advanced	0	0	0				Ongoing - All maneuvers are +1D. Each Player's Hand is +1.
Charging Lariat 	Strike	Advanced	0	2	3	T	Lariat		Power Attack 
Chinlock	Submission	Advanced	4	6	6	H			Ongoing - To play Action cards opponent must either pay for them or Discard a card. 
Christian Cage Manager	Manager	Advanced			4			Christian Cage Manager	Ongoing - Your cards played from outside your hand are +1D (this affects Tokens being Attempted)
Coffin Splash	Strike	Advanced	4	10	10	T	High Risk		Risky 3. Darby Allin - This does not have Risky. 
Comebacker Lariat	Strike	Advanced	4	5	5	H	Lariat		Retaliate - Has Sudden and Relentless
Compassionate	Action	Advanced	4	0					Enters - Each player puts a card from their Ring into their discard, they also Tuck a card from their Market, refill each players Market. 
Copeland Action	Action	Advanced	8	0	3			Adam Copeland Wrestler	Ongoing - Cards in your discard have Relentless if a copy of that card is in your ring.  Enters - You may discard any number of cards, draw that many cards.
Copeland's Spear	Strike	Advanced	18	10	16	T		Adam Copeland Wrestler	Finisher  As you play this you may Commit a card in your Ring, you may then discard a copy of that card from your hand. This gets +ND, where N is their combined Momentum.
Courageous	Action	Advanced	6	0	4				Resilient, Relentless. Enters - You may look at the top three cards of your Draw Deck. Tuck one, discard one, put one in your hand.   Patriarch Trigger - When discarded, Scout.
Cowboy Shit	Response	Advanced	4	0	2			Adam Page Wrestler	Permanent. Reverse any maneuver. Response - Commit and discard a card to reduce the damage of the played maneuver by the discarded Momentum, this loses Permanent. 
Crane Kick	Strike	Advanced	4	6	6	H	Kick		Combo Attack
Create-a-Wrestler Wrestler	Wrestler	Advanced			3			Create a Wrestler Wrestler	For your Kit choose one non-Kit Maneuver, Action, and Response. Those gain your logo, the maneuver gains Finisher. You can not include additional copies of those cards.
Cross Arm Breaker	Submission	Advanced	12	8	8	A			Enters - Try to Submit Opponent. 
Cross Punch	Strike	Advanced	0	2	2	H	Punch		Combo Attack
Crossface Chicken Wing	Submission	Advanced	2	6	6	-			Targets both Head and Arm (this card is considered to have no text as the Target icon would just have both targets) 
Crowd Favorite	Action	Advanced	4	0	0				Permanent. Action - Commit and choose one: -Gain 1 Stamina, then you may Cycle a card. OR -Attempt to Get a Pop, this loses Permanent.
Cunning Striker 	Action	Advanced	6	0	2				Tie-Up Enters - Play a Strike from hand or discard. If played from hand it gains Cunning Attack
Cut the Angle	Response	Advanced	4	0	3				Reverse any Action or Grapple
Cutter	Grapple	Advanced	6	9	6	H			Hidden  +3D when played from outside your hand.  Turned - Create a Bell Ringer token and a Winded token in opponent's ring.
Daddy Magic	Call Name	Advanced			2			Daddy Magic	Ongoing - Your Market is +1 if it contains an Action card
Deadeye 	Grapple	Advanced	9	6	6				Enters - Play a maneuver with T:T from your discard by paying for it. Hangman - Only need to pay half. Adam Page - It gains Power Attack. 
Death Riders	Faction	Advanced			2			Death Riders	Flip - Create two Chaos tokens in your ring. One of them gains Permanent this turn. 
Destination Unknown	Strike	Advanced	16	10	10	H		Ruby Soho Wrestler	This is +1D for each token in your ring.  Finisher.   Ongoing - Your Tokens have Permanent. 
Devoted	Action	Advanced	1	0	2				Relentless. Enters - Discard the bottom card of your Draw deck then Scout. 
Disarmer	Action	Advanced	5	0	2				Permanent. Ongoing - Your maneuvers with T:A are +1D.
Don Callis Family 	Faction	Advanced			3			Don Callis Family	Flip - Choose up to three cards from your discard. Tuck one, put one beneath your draw deck, put one in your hand. Don Callis - Pick a fourth card, and any of the three modes. 
Double Hand Chop	Strike	Advanced	1	2	3	T	Chop		Relentless, Focus Attack 
Double Leg Takedown	Grapple	Advanced	5	3	3	L	Setup		Relentless. Enters - You may discard a card. If you do, you may play a maneuver from your discard. If that card is reversed, put it beneath your draw deck. 
Educated Feet 	Action	Advanced	6	0	3				Ongoing - Your Kicks are +2D. Tie-Up Enters - Give a Kick in your Market Sudden this turn, if you can't draw a card. Recovery Enters - Put up to two Kicks from your discard beneath your draw deck then gain 1 Stamina for each Kick in your ring.
Elbow Lock	Submission	Advanced	3	5	7	A			Enters - You may pay 5M. If you do, draw a card and gain 3 Stamina. 
Elevated	Action	Advanced	5	0	3			Will Ospreay Wrestler	Hidden  Enters - You may look at the top four cards of your Purchase Deck and Tuck any of them. Put the rest back in any order.  Turned - Play the top card of your Purchase Deck face down. If it's reversed, Tuck it. 
Enough of this Gay Banter	Response	Advanced	4	0	2				Reverse any Action. Enters - You may put a non-maneuver card from your discard beneath your Purchase Deck. If you do, gain Stamina equal to it's Momentum. 
Exhaustion Sets In	Action	Advanced	8	0	2				Enters - Put a -1M Counter on all Permanent cards in the ring. Cards with 0M lose Permanent.
Fake Handshake	Grapple	Advanced	0	1	2	A			Cunning Attack 
Fall-Away Slam	Grapple	Advanced	5	8	8	T	Slam		Enters - If you have a Strike in your ring put up to two cards from your discard beneath your draw deck, if you have a Submission in your ring Stun Opponent then Scout. 
Family Portrait	Action	Advanced	8	0	2			Don Callis Family	Ongoing - Whenever you Tuck a card, opponent must also Tuck a card from their discard. 
Father	Action	Advanced	0	0	1				Enters - Look at the top two cards of your Draw deck. Put one in your hand, discard the rest.  The Patriarchy - You may look at an additional card. Christian Cage - You may look at an additional card.  The Patriarch - You may look at an additional card. 
Fatigue	Action	Advanced	2	0	2				Enters - Put two -1M counters on a non-persona card in Opponent's Ring. If that card has 0M, put it into opponent's discard pile. 
Feeling Refreshed	Action	Advanced	1	0	2				Enters - Uncommit a card in your ring and gain 1 Stamina. 
Feign	Strike	Advanced	6	0	3	-			Enters - Create a Sucker Punch token in your Market. Ongoing - Punches in your Market have Echo. 
Fisherman's Suplex 	Grapple	Advanced	9	7	7	T	Suplex		Enters - Choose up to one card from each Market. Tuck those cards. 
Focused Submissionist 	Action	Advanced	6	0	3				Tie-Up Enters - Play a Submission from hand or discard. If played from hand it gains Focus Attack. If reversed being played from discard, put it beneath your draw deck. 
Forearm Shot	Strike	Advanced	0	3	1	H			
Forethought	Action	Advanced	0	0	1				Uses 3. Action - Commit and remove a Use Counter: Scout
Friend of the Shadows	Action	Advanced	3	0	1				Hidden. Ongoing - Your face down cards have Permanent 
Generous	Action	Advanced	5	0	2				Sudden. Enters - Each player draws three cards and gains 3 Stamina.   The Patriarchy - Has Relentless. 
Gimmick Infringement	Action	Advanced	6	0	2				Enters - Choose a card in opponent's ring, Attempt a copy of that. Taz - That token gains Permanent this turn. 
Go For a Cheap Pop	Action	Advanced	1	0	0				Uses 4. Special - This is +1M for each Use Counter on it and when this becomes committed for any reason remove a Use Counter. 
Graphics Mistake	Action	Advanced	6	0	3				Enters - Opponent discards a card, then Tucks a card from both their discard and market. 
Grit and Determination 	Response	Advanced	10	0	3				Resilient. Reverse any maneuver of 8D or more. Enters - Attempt to Rally The Crowd. 
Hangman	Call Name	Advanced			2			Hangman	Your Starting Draw Deck may contain one copy of the card Running Lariat and up to 3 cost of other cards. 
Headbutt	Strike	Advanced	2	4	4	H			Enters - Create a 4C Brain Fog token in Opponent's Market.   Boxer - This gains the Punch trait. 
Headhunter	Action	Advanced	5	0	2				Permanent. Ongoing - Your maneuvers with T:H are +1D.
Hidden Blade	Strike	Advanced	15	11	11	H		Will Ospreay Wrestler	Finisher, Hidden, Stealth Attack. Ongoing - Your cards have Hidden. 
Hide Under the Ring	Action	Advanced	2	0	2				Hidden.  Ongoing - Your maneuvers played face down have Pressing
Hold Onto the Ropes	Response	Advanced	6	0	4				Rope Break, Resilient. Reverse any Submission, or Reverse any maneuver if you pay Momentum equal to its cost. 
I Am Your Father	Action	Advanced	4	0	3			The Patriarchy	Ongoing - Your maneuvers played from outside your hand have Cunning Attack.  Enters - You may Attempt to Draw Heat.  Christian Cage Enters - Non-Maneuver cards in your Market gain Sudden this turn (this only gives this to cards currently in your Market)
I Break Bitches	Response	Advanced	6	0	3			Nyla Rose Wrestler	Reverse any maneuver.  Enters - Choose up to two maneuvers with no printed abilities in your discard, put one in your hand the other beneath your draw deck.
I Think That Just Made Him Mad	Response	Advanced	6	0	10				Resilient. This card can not be played. 
Inspirational	Action	Advanced	10	0	5				Permanent, Resilient. Ongoing - Your Hand is +1.  The Patriarchy - When this is discarded, draw a card. 
Inspired	Boon	Advanced	0	0	1				Ongoing - Your Hand is +1.
Iron	Call Name	Advanced			3		Boxer	Iron	Your starting draw deck may contain up to 4 cost of Punches and 3 cost of any other cards. 
Joe is Gonna Kill You	Action	Advanced	5	0	2			Samoa Joe Wrestler	Ready Enters - Draw two cards. Recovery Enters - You may tuck a  card from your discard. If you do search your Purchase Deck for a card that shares a type with the tucked card and put it in your Market. If you don't, your Hand is +2 this turn. 
Kazuchika Okada Wrestler	Wrestler	Advanced			8			Kazuchika Okada Wrestler	None, isn't the Momentum enough? 
Kenny Omega Manager	Manager	Advanced			3			Kenny Omega Manager	Ready Action - Commit : Tuck a card from your hand draw two cards
Kick His Fucking Head In 	Maneuver	Advanced	13	6	6			Blackpool Combat Club	Finisher, Power Attack, Focus Attack. This has all maneuver types and all Targets.
Kickboxing Jab Combo	Strike	Advanced	2	2	2	H	Punch		Enters - Stun opponent then Attempt to Front Kick them. 
Kick to the Gut	Strike	Advanced	4	4	4	T	Kick, Setup		Enters - Play a grapple with T:H from Hand or Discard, it gains Pressing.
Knife Edge Chop	Strike	Advanced	0	3	1	T	Chop		Relentless, Permanent 
Lariat	Strike	Advanced	2	6	6	T	Lariat		Enters - Stun opponent. 
Last Supper	Grapple	Advanced	13	5	5	T			Can Reverse any card if it is at least the second card played consecutively. Enters - Try to Pin opponent 
Lateral Press	Grapple	Advanced	7	1	2	T	Setup		Enters - Try to Pin opponent 
Lead Hook	Strike	Advanced	0	2	2	H	Punch		Ongoing - Your Punches are -1C. Iron Enters - This gains Permanent this turn. 
Learning Moment	Response	Advanced	5	0	5				Resilient, Relentless Reverse any maneuver of 4C or less. Special - Can't be played from hand and if this would be put into your Discard from your Ring, put it beneath your draw deck instead. 
Lights Go Out	Action	Advanced	4	0	2				Hidden, Permanent.  Ongoing - Your face down cards have Permanent.  Turned - Play a card with Hidden from your discard face down. 
Lights Out	Action	Advanced	12	0	2				Ongoing - Your Punches have Sudden and +2M.
Locked Out 	Action	Advanced	3	0	2				Ongoing - Choose a card in opponent's market. They can't purchase that card. 
Loved	Action	Advanced	7	0	2				Relentless. Enters - Opponent Commits a card in their ring and tucks a card from their discard.  Christian Cage - Gain Stamina equal to the Momentum of the committed card.  Patriarch - You may Purchase a card with cost equal to or less than the Momentum of the Tucked card. 
Low Effort Kick	Strike	Advanced 	2	2	6	L			(Sloth needed) Enters - Opponent discards a card.  Staggered - They discard two instead. 
Maintain Hold	Action	Advanced	7	0	2				Follow-Up - Enters - When played after a Submission Choose one: Attempt the Submission this followed or Try to Submit Opponent using the Followed Submission
Man Can't Breath Can't Fight	Action	Advanced	5	0	2				Permanent. Ongoing - Your maneuvers with T:T are +1D.
Man Can't Stand, Can't Fight	Action	Advanced	5	0	2				Permanent. Ongoing - Your maneuvers with T:L are +1D.
Marina Action	Action	Advanced	6	0	3			Marina Shafir Wrestler	Ongoing - When your Opponent commits a card for your effect it loses Permanent.  Enters - Opponent commits two cards in their ring, they must choose cards with Permanent if able.
Marina Response	Response	Advanced	4	0	3			Marina Shafir Wrestler	Reverse any maneuver.  Enters - Stun opponent, twice.
Marina Shafir Wrestler	Wrestler	Advanced			5			Marina Shafir Wrestler	Tie-Up Action - Commit: Play a maneuver, it gets +2D, gains Pressing and has "Enter - Draw a card"
Maximum Effort 	Action	Advanced	4	0	3				Enters - Play a maneuver from hand. It's Enters abilities trigger an additional time.
Mike Tyson Manager	Manager	Advanced			3		Boxer	Mike Tyson Manager	Tie-Up Action - Attempt to Punch opponent, it gains "Enters - Stun opponent then Scout"
Mike Tyson Wrestler	Wrestler	Advanced			5		Boxer	Mike Tyson Wrestler	Tie-Up Action - Commit: Play a Punch with cost 5 or less from your Hand, Market, or Discard. It gets +2D and "Enters - Stun opponent then Scout".
MJF Wrestler	Wrestler	Advanced			4			MJF Wrestler	Ongoing - Your Hand is +1.
Mongolian Chop	Strike	Advanced	2	4	4	T	Chop		Sudden, Relentless
Mother's Milk	Submission	Advanced	15	10	10	H		Marina Shafir Wrestler	Finisher  This is +1D for each committed card in your opponent's ring.
Muscle Buster	Grapple	Advanced	20*	14	14	H		Samoa Joe Wrestler	*Costs half when played from a location other than your hand (like from being granted Sudden or Relentless, or any other effect that tells you to play by paying) 
Native Beast	Call Name	Advanced			3			Native Beast	Your maneuvers with no printed abilities are -2C. 
Nope	Response	Advanced	5	0	4			Samoa Joe Wrestler	Reverse any maneuver or action. Ignore any additional costs to play this reversal (this ignores Finisher and Pressing, etc...) 
Nyla Action	Action	Advanced	7	0	2			Nyla Rose Wrestler	Permanent  Ongoing - Your cards with no printed abilities gain Pressing.
Nyla Rose Wrestler	Wrestler	Advanced			4			Nyla Rose Wrestler	Ongoing - Your maneuvers with no printed abilities gain 'Enters - Scout'. 
Ogogo Reversal	Response	Advanced	5	2	3			Anthony Ogogo Wrestler	Reverse any maneuver. Enters - You may play a Punch from your Discard or Market with cost less than our equal to the cost of the reversed card. 
Olympic Bronze Boxer	Action	Advanced	8	0	4			Anthony Ogogo Wrestler	Ongoing - Your Punches have Sudden. 
Open Hand Chop	Strike	Advanced	0	2	2	T	Chop		Relentless. Enters - Stun opponent. 
