Name	Type	Set	Cost	Damage	Momentum	Target	Traits	Starting	Game Text
Dominating Presence	Action	Core	10	0	3			Bobby Lashley Wrestler	Relentless. Ongoing - Your maneuvers are +2D and Opponent's Hold is -1.
Thumbs Down 	Response	Core	6	3	3			Bobby Lashley Wrestler	Power Attack. Reverse any maneuver. 
The Hurt Lock	Submission	Core	18	12	12	H		Bobby Lashley Wrestler	Finisher, Focus Attack 
Bobby Lashley Wrestler	Wrestler	Core			5			Bobby Lashley Wrestler	Tie-Up Action - Commit : Play a maneuver from your hand. It gains "Enters - Draw two cards." 
Don Callis Manager	Manager	Core			3			Don Callis Manager	Ready Action - Commit and discard an Action card from your hand : Draw two cards.
Purveyor of Violence 	Action	Core	8	0	4			Jon Moxley Wrestler	Enters - Reveal your the top six cards of your draw deck and pick a card from among them. Put that card into your hand then your opponent picks a maneuver from the remaining cards, play that maneuver. Discard the cards that are left. 
Paradigm Shift 	Grapple	Core	15	10*	15	H	DDT	Jon Moxley Wrestler	*+1D for each maneuver in your ring.  Finisher  Ongoing - Your hand is +1.
Unscripted Violence	Response	Core	5	0	3			Jon Moxley Wrestler	Reverse any maneuver. Enters - Reveal your hand to your opponent and they choose a maneuver from it. Play that maneuver, it can't be reversed but deals half damage (round up). 
Jon Moxley Wrestler	Wrestler	Core			5			Jon Moxley Wrestler	Tie-Up Action - Commit : play a maneuver from your hand, it is +5D.
I Must Bid You Adieu	Action	Core	10	0	3			Kenny Omega Wrestler	Enters - Opponent discards a card, you may put up to two cards from your discard beneath your draw deck, you may put up to two cards from your Market beneath your purchase deck (replace), draw a card, and gain 3 Stamina. 
One Winged Angel 	Grapple	Core	20	20	20	H		Kenny Omega Wrestler	Finisher
Goodbye And Good Night... 	Response	Core	5	0	5			Kenny Omega Wrestler	Reverse any Card. Enters - You may discard a card. If you do gain 2 Stamina and draw two cards. 
Kenny Omega Wrestler	Wrestler	Core			5			Kenny Omega Wrestler	Ready Action - Commit : Discard a card then draw two cards. 
Luthor Manager	Manager	Core			2			Luthor Manager	Recovery Action - Commit and choose an Action in your Ring. It gains Permanent this turn. 
Marina Shafir Manager	Manager	Core			4			Marina Shafir Manager	Tie-Up Action - Commit - Play a maneuver from your hand, it gets +1D and gains 'Enters - Scout, then draw a card' 
Taekwondo Master 	Action	Core	6	0	5			Mike Bailey Wrestler	Ongoing - Your Kicks are +2D. Enters - You may discard a card, if you do Play a Kick from your Discard. Otherwise Scout then draw a card. 
Bow To Your Sensei	Response	Core	5	0	3			Mike Bailey Wrestler	Reverse any maneuver. Enters - You may put a Kick from your Discard beneath your draw deck. 
Ultima Weapon	Strike	Core	12	15	15		High Risk	Mike Bailey Wrestler	Finisher.  Enters - You may put any number of Kicks from your discard pile beneath your draw deck. 
Mike Bailey Wrestler	Wrestler	Core			3			Mike Bailey Wrestler	Tie-Up Action - Commit : Attempt to Kick opponent, it gains Permanent this turn. 
MVP Manager	Manager 	Core			2			MVP Manager	Recovery Action - Commit : Put a maneuver with cost 4 or less from your discard beneath your draw deck.
Prince Nana Manager	Manager	Core			2			Prince Nana Manager	Ready Action - Commit and discard the top two cards of your draw deck. If a maneuver is discarded this way draw a card and gain 2 Stamina. 
Whose House?	Action	Core	8	0	3			Swerve Strickland Wrestler	Enters - Choose up to three cards from your discard and for each put it beneath your draw deck or purchase deck. Look at the top three cards of your Draw deck, you may play one of those cards, discard the rest. 
Swerve's House	Response	Core	5	0	5			Swerve Strickland Wrestler	Reverse any Card.  Enters - Look at the top three cards of your Draw Deck you may discard any of them. Put the rest back on top of your Draw Deck in any order. 
House Call	Strike	Core	15	10	15	H	Kick	Swerve Strickland Wrestler	Finisher. Enters - Opponent Tucks a card from their hand. 
Swerve Strickland Wrestler	Wrestler	Core			5			Swerve Strickland Wrestler	Recovery Action - Commit : put a card from your discard pile under your draw deck. 
Chin Up, Tits Out	Action	Core	7	0	2			Toni Storm Wrestler	Enters - Gain 4 Stamina then choose up to one Action card and up to one Maneuver from your discard. Put one of them into your hand, you may then play the other.
Storm Zero	Grapple	Core	16	10	10	H		Toni Storm Wrestler	Finisher  This is +1D for each Action card in your ring.
