Card Name	Type	Set 	Cost	Damage	Momentum	Target	Traits	Wrestler Kit	Signature For	Card Raw Game Text	Card
Amazing Display of Power	Action	Core	0	0	2					Tie-Up Enters - You may play a maneuver from your hand or discard. If played from hand it gains Power Attack.	
Arrive In Style	Action	Core	0	0	1					Enters - Place up to two cards from your Market beneath your Purchase Deck, replace. Draw a card and gain 1 Stamina.	
Circle Opponent	Action	Core	0	0	1					Ready Enters - Draw two cards then discard a card. Tie-Up Play - Play a maneuver with cost 2 or less from your discard.	
Draw Heat	Action	Core	0	0	5						
Get a Pop	Action	Core	0	0	2					Permanent.	
Irish Whip	Action	Core	0	0	2		Set-up			Tie-Up Enters - Look at the top three cards of your Draw Deck, you may play a maneuver from among them. Discard the rest. 	
Quick Thinking	Action	Core	0	0	3					Enters - Discard a card then draw two cards. 	
Ready For a Fight	Action	Core	0	0	2					Ready Enters - Draw a card. Ongoing - Your maneuvers are +!D.	
Study Opponent	Action	Core	0	0	1					Enters - Draw a card, you may then Cycle a card (Discard a card to draw a card). Recovery Play - You may put a card from your Discard beneath your Purchase deck to Gain 3 Stamina.	
Take a Breather	Action	Core	0	0	2					Recovery Enters - Place a card from your discard beneath your draw deck. Gain 2 Stamina.	
A Little Bit of the Bubbly	Action	Core	1	0	2					Ongoing - Each player gets +1 Hand. Ready Enters - Choose an opponent to discard two cards. Chris Jericho Enters - Gain 3 Stamina.	
Burst of Energy	Action	Core	1	0	3					Recovery Enters - Shuffle up to three cards from your discard into your draw deck. Gain 3 Stamina.	
Grab the Mic	Action	Core	1	0	0					Sudden. Enters - Scout then choose one: Attempt to Draw Heat or Attempt to Get a Pop 	
I Digress	Action	Core	1	0	2					Enters - You may discard up to two cards. Place up to that many cards from your discard beneath your draw deck then draw that many cards and gain that much Stamina.	
Intimidate Opponent	Action	Core	1	0	2					Enters - Opponent discards a card.	
Tighten Your Grip	Action	Core	1	0	2					Follow-Up - Enters - The Followed Maneuver gains Permanent this turn.	
Chain Wrestling	Action	Core	3	0	2		Set-up			Permanent. Tie-Up Action - Commit : Play a maneuver from your hand that shares a type with one in your ring. It gains 'Enters - Draw a card'. 	
Perpetual Offensive Motion	Action	Core	3	0	2					Follow-Up - When played after a maneuver you may play a maneuver ith less damage from your hand or discard. if that maneuver is a strike it gains "Play - Draw a card"	
Quicken the Pace	Action	Core	3	0	1					Permanent. Ongoing - Each player gets +1 Hand.	
Skilled Grappler	Action	Core	3	0	1					Permanent. Ongoing - Your Grapple maneuvers have Cost -1.	
Skilled Striker	Action	Core	3	0	1					Permanent. Ongoing - Your Strike maneuvers have Cost -1.	
Skilled Submissionist 	Action	Core	3	0	1					Permanent. Ongoing - Your Submission maneuvers have Cost -1.	
All Rounder	Action	Core	5	0	3					Enters - If you have a Strike in your ring, Scout. A Grapple in your ring, you may put up to one card from your discard beneath your draw deck. A Submission in your ring, you may Tuck up to two cards from your Discard. If you have all three, you may then Draw a card and gain 3 Stamina. 	
Heat Magnent	Action	Core	5	0	0					Permanent. Play - Draw a card. Ongoing - Your copies of Draw Heat gain Permanent.	
Heighten the Drama	Action	Core	5	0	1				Toni Storm	Enters - Choose one: Attempt to Draw Heat, or Attempt to Get a Pop, or Attempt to Slap Opponent, or Attempt to Intimidate Opponent.  Toni Storm - The Token created gains 'Enters - Choose another option from Heighten the Drama. 	
Strategic Beatdown	Action	Core	5	0	2					Recovery Enters - Choose up to two non-response cards in your discard pile. Put up to one in your hand put the rest beneath either your draw deck or purchase deck.	
Will of the Invisible Hand	Action	Core	5	0	2				Don Callis	Enters - Draw a card and Attempt to Draw Heat. Ready - Draw an addiontional card. Don Callis - When discarded to an ability you control gain 1 Stamina and you may Tuck a card from your Discard 	
Grinding Halt	Action	Core	6	0	3					Ongoing - While uncommitted, maneuvers played from outside a player's hand non-cumulatively deal half damage, rounded up.	
Highly Consistent	Action	Core	6	0	2					Permanent. Ongoing - Maneuvers that share a name with a card in your ring are +2D.	
Taekwondo Master 	Action	Core	6	0	5			TRUE	Mike Bailey	Ongoing - Your Kicks are +2D. Enters - You may discard a card, if you do Play a Kick from your Discard. Otherwise Scout then draw a card. 	
Chin Up, Tits Out	Action	Core	7	0	2			TRUE	Toni Storm	Enters - Gain 4 Stamina then choose up to one Action card and up to one Maneuver from your discard. Put one of them into your hand, you may then play the other.	
Amateurs	Action	Core	8	0	4					Ready Enters - Opponent may discard a maneuver with cost 5 or greater. If they do not, they discard two cards.	
Purveyor of Violence 	Action	Core	8	0	4			TRUE	Jon Moxley 	Enters - Reveal your the top six cards of your draw deck and pick a card from among them. Put that card into your hand then your opponent picks a maneuver from the remaining cards, play that maneuver. Discard the cards that are left. 	
Whose House?	Action	Core	8	0	3			TRUE	Swerve Strickland	Enters - Choose up to three cards from your discard and for each put it beneath your draw deck or purchase deck. Look at the top three cards of your Draw deck, you may play one of those cards, discard the rest. 	
Dominating Presence	Action	Core	10	0	3			TRUE	Bobby Lashley 	Relentless. Ongoing - Your maneuvers are +2D and Opponent's Hold is -1.	
I Must Bid You Adieu	Action	Core	10	0	3			TRUE	Kenny Omega 	Enters - Opponent discards a card, you may put up to two cards from your discard beneath your draw deck, you may put up to two cards from your Market beneath your purchase deck (replace), draw a card, and gain 3 Stamina. 	
World Class Endurance	Action	Core	10	0	5					Resilient. Recovery Enters - Shuffle up to five cards from your discard into your draw deck. Gain 5 Stamina.	
Arm Drag	Grapple	Core	0	2	4	A				Enters - Gain 1 Stamina	
Armbar Takedown	Grapple	Core	0	2	2	A	Set-up			Enters - You may play a submission with Target: A from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	
Belly-to-Belly Takedown	Grapple	Core	0	2	2	T	Set-up			Enters - You may play a submission with Target: T from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	
Collar and Elbow Lockup	Grapple	Core	0	3	3	-				Enters - Look at the top card of your draw deck, you may discard that. Then both players draw two cards. 	
Headlock Takedown	Grapple	Core	0	2	2	H	Set-up			Enters - You may play a submission with Target: H from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	
Hip Toss	Grapple	Core	0	4	2	T				Permanent (This card is not removed from play as turns end)	
Single Leg Takedown	Grapple	Core	0	2	2	L	Set-up			Enters - You may play a submission with Target: L from your hand or discard. If played from discard and is unsuccessful put it beneath your draw deck.	
Snapmare	Grapple	Core	0	1	6	H					
Body Slam	Grapple	Core	1	3	2	T	Slam			Enters - If you have another Grapple in your ring, draw a card	
Belly-to-Back Suplex	Grapple	Core	2	7	4	T	Suplex				
Drop Toe Hold	Grapple	Core	2	5	5	T				Enters - If you have a Strike in your ring, Stun opponent.	
Fireman's Carry	Grapple	Core	2	4	4	T				Enters - You may put up to one card from your discard beneath your draw deck.	
Flying Head Scissors	Grapple	Core	2	7	7	H	High Risk				
Slam	Grapple	Core	2	6	3	T	Slam				
Wristlock Slam	Grapple	Core	4	4	4	A	Slam			Focus Attack 	
German Suplex	Grapple	Core	5	8	8	H	Suplex			Enters - Opponent puts the top card of their draw deck and puts it into their market that card is +1 Cost this turn.	
Backbreaker	Grapple	Core	6	6	6	T				Enters - Stun opponent.	
Knee Breaker	Grapple	Core	7	6	4	L				Enters - Choose a card opponent's market, discard, and Ring. They Tuck one of those cards. 	
Overhead Belly-to-Belly Suplex	Grapple	Core	8	10	8	T	Suplex				
DDT	Grapple	Core	10	8	8	H	DDT			Enters - Choose a card in hit opponent's ring. Put that card into their discard.	
Chokeslam	Grapple	Core	12	12	12	H	Slam				
Avalanche Brainbuster	Grapple	Core	14	12	12	H	High Risk, Suplex			Enters - Your opponent discards two cards.	
Paradigm Shift 	Grapple	Core	15	10*	15	H	DDT	TRUE	Jon Moxley 	*+1D for each maneuver in your ring. Finisher. Ongoing - Your hand is +1.	
Piledriver	Grapple	Core	15	10	10	H				Enters - Opponent discards a card.	
Storm Zero	Grapple	Core	16	10	10	H		TRUE	Toni Storm	Finisher. This is +1D for each Action card in your ring.	
One Winged Angel 	Grapple	Core	20	20	20	H		TRUE	Kenny Omega 	Finisher	
Powerslam	Grapple 	Core	6	10	6	T	Slam			Permanent. 	
Don Callis	Manager	Core	N/a	N/a	3					Ready Action - Commit and discard an Action card from your hand : Draw two cards.	
Luthor	Manager	Core	N/a	N/a	2					Recovery Action - Commit and choose an Action in your Ring. It gains Permanent this turn. 	
Marina Shafir 	Manager	Core	N/a	N/a	4					Tie-Up Action - Commit - Play a maneuver from your hand, it gets +1D and gains 'Enters - Scout, then draw a card' 	
Prince Nana	Manager	Core	N/a	N/a	2					Ready Action - Commit and discard the top two cards of your draw deck. If a maneuver is discarded this way draw a card and gain 2 Stamina. 	
MVP	Manager 	Core	N/a	N/a	2					Recovery Action - Commit : Put a maneuver with cost 4 or less from your discard beneath your draw deck.	
Anti-Air	Response	Core	0	2	2					Cycling. Reverse any High Risk.	
Block	Response	Core	0	0	2					Reverse any Strike.	
Break Free	Response	Core	0	0	2					Reverse any Grapple.	
Drop Step	Response	Core	0	0	2					Reverse any maneuver of 4D or less. Enters - Draw a card 	
Reach the Ropes	Response	Core	0	0	2					Reverse any Submission.	
Rookie Mistake 	Response	Core	0	0	2					Permanent. Reverse any 0 Cost card. 	
Rude Interruption	Response	Core	0	0	2					Reverse any Action	
Escape the Hold 	Response	Core	3	0	3					Reverse any Grapple or Submission 	
Shove Off	Response	Core	3	0	3					Reverse any Strike or Grapple	
Slip Away	Response	Core	3	0	3					Reverse any Strike or Submission 	
Bow To Your Sensei	Response	Core	5	0	3			TRUE	Mike Bailey	Reverse any maneuver. Enters - You may put a Kick from your Discard beneath your draw deck. 	
Goodbye And Good Night... 	Response	Core	5	0	5			TRUE	Kenny Omega 	Reverse any Card. Enters - You may discard a card. If you do gain 2 Stamina and draw two cards. 	
Swerve's House	Response	Core	5	0	5			TRUE	Swerve Strickland	Reverse any Card.  Enters - Look at the top three cards of your Draw Deck you may discard any of them. Put the rest back on top of your Draw Deck in any order. 	
Unscripted Violence	Response	Core	5	0	3			TRUE	Jon Moxley 	Reverse any maneuver. Enters - Reveal your hand to your opponent and they choose a maneuver from it. Play that maneuver, it can't be reversed but deals half damage (round up). 	
Thumbs Down 	Response	Core	6	3	3			TRUE	Bobby Lashley 	Power Attack. Reverse any maneuver. 	
And Watch for the Shoe	Response	Core	7	0	5			TRUE	Toni Storm	Reverse any maneuver. Ongoing - Your Action cards are +1D	
Had It Scouted	Response	Core	8	0	2					Reverse any Maneuver.	
Chop	Strike	Core	0	1	1	T	Chop			Enters - Scout	
European Uppercut	Strike	Core	0	5	3	T					
Front Kick	Strike	Core	0	4	4	T	Kick				
Jab	Strike	Core	0	2	3	H	Punch			Enters - You may play a strike from your discard by paying for it. Free if a Punch.	
Kick	Strike	Core	0	2	2	T	Kick				
Overhand Punch	Strike	Core	0	3	6	H	Punch				
Slap	Strike	Core	0	1	1	H				Permanent. Enters - Draw a card.	
Mounted Punches	Strike	Core	1	2	3	H	Punch			Permanent. Follow-Up - Power Attack.	
Running Clothesline	Strike	Core	1	5	5	T	Lariat				
Spinning Back Elbow	Strike	Core	1	6	6	H					
Haymaker	Strike	Core	2	5	3	H	Punch			Power Attack	
Opening Jab	Strike	Core	2	3*	3	H	Punch			*If this is your first maneuver this turn, this is +3D.	
Roundhouse to the Arm	Strike	Core	4	8	8	A	Kick				
Short-Arm Clothesline	Strike	Core	4	7	7	A	Lariat			Permanent	
Shoulder Block	Strike	Core	4	8	8	T					
Work the Body	Strike	Core	4	7	7	T	Punch			Permanent	
Leg Kick	Strike	Core	5	8	6	L	Kick				
Roundhouse Kick	Strike	Core	5	10	8	H	Kick				
Superkick	Strike	Core	5	7	7	H	Kick			Enters - Opponent discards a card.	
Crippling Chop Block	Strike	Core	6	8	6	L				Permanent	
Discuss Punch	Strike	Core	6	10	10	H	Punch				
Missile Dropkick	Strike	Core	6	5	8	T	High Risk, Kick			Enters - Opponent discards a card. Follow-Up - +5D.	
Solbut	Strike	Core	6	6	4	T	Kick			Permanent. 	
Spinning Back Fist	Strike	Core	6	8*	12	H				*+2D for each maneuver in your ring with T: H	
Torkneedo	Strike	Core	7	10	10	H	High Risk			Enters - Opponent discards a card and you may draw a card. 	
Clothesline	Strike	Core	8	8	4	T	Lariat			Power Attack. Enters - Opponent discards a card.	
Pounce	Strike	Core	10	14	10	T					
Top-Rope Splash	Strike	Core	10	10	10	T	High Risk			Power Attack 	
Ultima Weapon	Strike	Core	12	15	15		High Risk	TRUE	Mike Bailey	Finisher.  Enters - You may put any number of Kicks from your discard pile beneath your draw deck. 	
V-Trigger	Strike	Core	12	10	13	H			Kenny Omega	Kenny Omega - -4 Cost, Follow-Up - Enters - Opponent discards a card.	
House Call	Strike	Core	15	10	15	H	Kick	TRUE	Swerve Strickland	Finisher. Enters - Opponent Tucks a card from their hand. 	
Armbar	Submission	Core	0	3	3	A				Ongoing - Opponent's Hold is -1.	
